Path,Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
path1_right_angle_90,DWPP for Diff-drive,0.0000,0.0232,0.0500,1.5152,N/A
path1_right_angle_90,VP for Omni (min L),100.0000,0.0257,0.0561,11.8113,N/A
path1_right_angle_90,VP for Omni (max L),100.0000,0.0438,0.1254,12.2820,N/A
path1_right_angle_90,DWVP for Omni,0.0000,0.0239,0.0500,2.4675,N/A
path2_straight_heading_step,DWPP for Diff-drive,0.0000,0.0122,0.0248,66.9421,N/A
path2_straight_heading_step,VP for Omni (min L),100.0000,0.0134,0.0271,37.3701,N/A
path2_straight_heading_step,VP for Omni (max L),98.3333,0.0148,0.0280,23.5916,N/A
path2_straight_heading_step,DWVP for Omni,0.0000,0.0119,0.0248,12.6959,N/A
path3_right_angle_90_last_heading_minus_pi,DWPP for Diff-drive,0.0000,0.0232,0.0500,1.5152,N/A
path3_right_angle_90_last_heading_minus_pi,VP for Omni (min L),100.0000,0.0251,0.0576,11.5014,N/A
path3_right_angle_90_last_heading_minus_pi,VP for Omni (max L),100.0000,0.0455,0.1223,11.1092,N/A
path3_right_angle_90_last_heading_minus_pi,DWVP for Omni,0.0000,0.0240,0.0500,4.9808,N/A
path4_one_minus_cos,DWPP for Diff-drive,0.0000,0.0298,0.0513,13.3326,N/A
path4_one_minus_cos,VP for Omni (min L),100.0000,0.0218,0.0407,14.5226,N/A
path4_one_minus_cos,VP for Omni (max L),100.0000,0.0308,0.0526,18.3664,N/A
path4_one_minus_cos,DWVP for Omni,0.0000,0.0271,0.0489,16.8917,N/A
